threshold,precision,recall,f1,accuracy
0.7128282828282828,0.9090909090909091,0.1,0.18018018018018017,0.5645933014354066
0.7227272727272727,0.9,0.09,0.16363636363636364,0.5598086124401914
0.7326262626262626,0.9,0.09,0.16363636363636364,0.5598086124401914
0.7425252525252525,0.9,0.09,0.16363636363636364,0.5598086124401914
0.7524242424242424,1.0,0.08,0.14814814814814814,0.5598086124401914
0.7623232323232323,1.0,0.08,0.14814814814814814,0.5598086124401914
0.7722222222222221,1.0,0.08,0.14814814814814814,0.5598086124401914
0.7821212121212121,1.0,0.08,0.14814814814814814,0.5598086124401914
0.792020202020202,1.0,0.08,0.14814814814814814,0.5598086124401914
0.8019191919191919,1.0,0.06,0.11320754716981132,0.5502392344497608
0.8118181818181818,1.0,0.05,0.09523809523809523,0.5454545454545454
